company,date,close_usd
WDC,2024-08-14,47.1005
WDC,2024-08-21,49.7959
WDC,2024-08-28,47.805
WDC,2024-09-05,47.9428
WDC,2024-09-12,48.4329
WDC,2024-09-19,50.5157
WDC,2024-09-26,53.9539
WDC,2024-10-03,50.9828
WDC,2024-10-10,49.0455
WDC,2024-10-17,51.5724
WDC,2024-10-24,50.7837
WDC,2024-10-31,50.0103
WDC,2024-11-07,53.9386
WDC,2024-11-14,48.4099
WDC,2024-11-21,50.4468
WDC,2024-11-29,55.8912
WDC,2024-12-06,54.421
WDC,2024-12-13,49.8648
WDC,2024-12-20,46.128
WDC,2024-12-30,45.6533
WDC,2025-01-07,49.6734
WDC,2025-01-15,49.4896
WDC,2025-01-23,52.5909
WDC,2025-01-30,50.3702
WDC,2025-02-06,49.3748
WDC,2025-02-13,51.7332
WDC,2025-02-21,52.61
WDC,2025-02-28,48.93
WDC,2025-03-07,41.7
WDC,2025-03-14,44.53
WDC,2025-03-21,43.66
WDC,2025-03-28,40.62
WDC,2025-04-04,30.54
WDC,2025-04-11,34.4
WDC,2025-04-21,35.96
WDC,2025-04-28,40.91
WDC,2025-05-05,45.03
WDC,2025-05-12,46.57
WDC,2025-05-19,50.72
WDC,2025-05-27,51.82
WDC,2025-06-03,53.77
WDC,2025-06-10,55.95
WDC,2025-06-17,58.57
WDC,2025-06-25,62.55
WDC,2025-07-02,65.78
WDC,2025-07-10,65.06
WDC,2025-07-17,67.02
WDC,2025-07-24,69.02
WDC,2025-07-31,78.69
WDC,2025-08-07,74.44
WDC,2025-08-14,76.24
WDC,2025-08-21,74.66
WDC,2025-08-28,82.04
WDC,2025-09-05,92.04
WDC,2025-09-12,97.66
WDC,2025-09-19,106.63
WDC,2025-09-26,106.88
WDC,2025-10-03,131.31
WDC,2025-10-10,115.42
WDC,2025-10-17,126.2
WDC,2025-10-24,129.43
WDC,2025-10-31,150.21
WDC,2025-11-07,162.955
WDC,2025-11-14,157.83
WDC,2025-11-21,139.19
WDC,2025-12-01,163.54
WDC,2025-12-08,169.78
WDC,2025-12-15,172.04
WDC,2025-12-22,176.76
WDC,2025-12-30,176.06
WDC,2026-01-07,199.88
WDC,2026-01-14,215
WDC,2026-01-22,243.29
WDC,2026-01-29,278.41
WDC,2026-02-05,260.19
WDC,2026-02-12,284.1
WDC,2026-02-20,285.52
WDC,2026-02-27,279.7
WDC,2026-03-06,245.25
WDC,2026-03-13,272.29
WDC,2026-03-20,293.1
WDC,2026-03-27,275.34
WDC,2026-04-06,304.15
WDC,2026-04-13,350.16
WDC,2026-04-20,374.11
WDC,2026-04-27,400.73
WDC,2026-05-04,442.36
WDC,2026-05-11,515.83
WDC,2026-05-18,458.68
WDC,2026-05-26,524.65
WDC,2026-06-02,563.1
WDC,2026-06-09,517.72
WDC,2026-06-16,681.08
WDC,2026-06-24,643.83
WDC,2026-07-01,598.37
WDC,2026-07-09,578.05
WDC,2026-07-16,466.81
WDC,2026-07-23,558.3
WDC,2026-07-30,533.04
WDC,2026-08-06,451.52
WDC,2026-08-13,487.29
WDC,2026-08-20,469.05
WDC,2026-08-27,462
WDC,2026-09-03,441.57
WDC,2026-09-11,447.18
WDC,2026-09-18,441.36
WDC,2026-09-23,473.69
